"","name","bud","donor","profit","grant1","sofin1"
"7893","Фонд """"""""Академия Российского телевидения""""""""",999,999,999,3633971,3330334
"7917","Фонд поддержки социальных инноваций """"""""Вольное Дело""""""""",999,999,999,4436327,1947475
"7940","Некоммерческая организация """"""""Благотворительный ФОНД """"""""Даунсайд Ап""""""""",999,999,999,5305501.4,314565
"7941","Некоммерческая организация """"""""Благотворительный ФОНД """"""""Даунсайд Ап""""""""",999,999,999,4059952.5,510600
"7947","Благотворительный фонд Елены Исинбаевой",999,999,999,4988610,1322280
"7948","Благотворительный фонд Елены Исинбаевой",999,999,999,4613780,10000
"7973","Молодежный Благотворительный Фонд """"""""Возрождение Земли Сибирской""""""""",999,999,999,3382130,1333431
"8112","Фонд правовой поддержки миграционных процессов",999,999,999,3597248,3855360
"8127","Фонд содействия продвижению русского языка и образования на русском",999,999,999,4915442,859280
"8137","Некоммерческая организация Благотворительный фонд наследия Менделеева",999,999,999,9280560,30427080
"8186","Фонд святых равноапостольных Константина и Елены",999,999,999,4900000,2348490
"8205","Благотворительный фонд «Фонд поддержки слепоглухих «Со-единение»",999,999,999,9135715,3900000
"8385","Благотворительный фонд помощи детям с тяжелыми заболеваниями и их семьям """"""""КОРАБЛИК""""""""",999,999,999,6505216,5337528
"8393","Благотворительный фонд помощи лицам, страдающим сердечно-сосудистыми заболеваниями, и содействия профилактике сердечно-сосудистых заболеваний среди населения """"""""Мир Сердца""""""""",999,999,999,9665490,0
"8461","Благотворительный Фонд """"""""Апостолов Петра и Павла""""""""",999,999,999,4158167,4e+05
"8478","Благотворительный фонд """"""""Культурные сезоны""""""""",999,999,999,4760250,5166430
"8479","Благотворительный фонд """"""""Культурные сезоны""""""""",999,999,999,29947152,35285835
"8519","Национальный благотворительный Фонд поддержки работ по адаптации городской среды для маломобильных групп населения """"""""Город без барьеров""""""""",999,999,999,4436885,4117785
"8552","Международный благотворительный фонд имени Д.С. Лихачева",999,999,999,4975280,1205000
"8627","Благотворительный фонд """"""""Центр святителя Василия Великого""""""""",999,999,999,5300000,3570400
"8719","Благотворительный фонд помощи детям, страдающим заболеванием буллезный эпидермолиз """"""""БЭЛА. Дети-бабочки""""""""",999,999,999,6481752,695076
"8720","Благотворительный фонд помощи детям, страдающим заболеванием буллезный эпидермолиз """"""""БЭЛА. Дети-бабочки""""""""",999,999,999,4060826.9,710936.2
"8771","Благотворительный фонд содействия межцерковной христианской диаконии",999,999,999,3633138,2466972
"8772","Благотворительный фонд содействия межцерковной христианской диаконии",999,999,999,3633138,2466972
"8847","Благотворительный фонд поддержки музыкального искусства """"""""Фонд Елены Образцовой""""""""",999,999,999,4718424,3550000
"8848","Благотворительный фонд поддержки музыкального искусства """"""""Фонд Елены Образцовой""""""""",999,999,999,8291440,6600000
"8856","Фонд содействия развитию культурно-просветительской деятельности """"""""Фома Центр""""""""",999,999,999,6079307.6,1320000
"8859","Благотворительный Фонд развития сообщества """"""""Гарант""""""""",999,999,999,7899227,3457228
"8886","Благотворительный фонд профилактики социального сиротства",999,999,999,6262918.8,4572995.3
"8887","Благотворительный фонд профилактики социального сиротства",999,999,999,4070399,3074340
"8922","Фонд поддержки семей погибших и пострадавших в вооруженных конфликтах и уволенных в запас военнослужащих """"""""Памяти 6-ой роты""""""""",999,999,999,3794538,592700
"9020","Национальный благотворительный фонд развития детского регби",999,999,999,5371840,22741683.7
"9047","Благотворительный фонд «69 параллель»",999,999,999,3169773.4,3218520
"9150","Некоммерческая организация """"""""Международный благотворительный фонд """"""""Кронштадтский Морской собор во имя Святителя Николая Чудотворца""""""""",999,999,999,4723188.8,623590
"9231","Фонд социально-культурных программ """"""""Губерния""""""""",999,999,999,6777000,5749000
"9285","Межрегиональный фонд поддержки молодежных инициатив """"""""Татьянин день - Приморья""""""""",999,999,999,6024500,3976229
"9424","Благотворительный фонд святого праведного Иоанна Кронштадтского",10601,51,0,6193900,2247915
"9425","Благотворительный фонд святого праведного Иоанна Кронштадтского",10601,51,0,3990120,1024009.9
"9468","Благотворительный фонд """"""""Дорога к дому""""""""",999,999,999,7404514,5322898.4
"9469","Благотворительный фонд """"""""Дорога к дому""""""""",999,999,999,6566317.8,2827218.4
"9675","Благотворительный фонд содействия реализации программ Лиги здоровья нации",999,999,999,4318940,0
"9860","Благотворительный фонд """"""""Оберег""""""""",999,999,999,4935544,1400000
"10083","Благотворительный фонд """"""""Оберег""""""""",999,999,999,4935544,1400000
"10378","Благотворительный фонд """"""""Оберег""""""""",999,999,999,4935544,1400000
"10581","Общероссийская молодежная общественная организация """"""""Российский союз сельской молодежи""""""""",999,999,999,7500000,6050000
